institution_id,display_name
MIT,"Massachusetts Institute of Technology"
IMPERIAL_COLLEGE_LONDON,"Imperial College London"
UNIVERSITY_OF_OXFORD,"University of Oxford"
HARVARD_UNIVERSITY,"Harvard University"
UNIVERSITY_OF_CAMBRIDGE,"University of Cambridge"
STANFORD_UNIVERSITY,"Stanford University"
ETH_ZURICH,"ETH Zurich"
NUS,"National University of Singapore"
UCL,"University College London"
CALTECH,"California Institute of Technology"
UPENN,"University of Pennsylvania"
UC_BERKELEY,"University of California, Berkeley"
UNIVERSITY_OF_MELBOURNE,"The University of Melbourne"
PEKING_UNIVERSITY,"Peking University"
NANYANG_TECHNOLOGICAL_UNIVERSITY,"Nanyang Technological University"
CORNELL_UNIVERSITY,"Cornell University"
HKU,"University of Hong Kong"
UNIVERSITY_OF_SYDNEY,"The University of Sydney"
UNSW_SYDNEY,"UNSW Sydney"
TSINGHUA_UNIVERSITY,"Tsinghua University"
UNIVERSITY_OF_CHICAGO,"University of Chicago"
PRINCETON_UNIVERSITY,"Princeton University"
YALE_UNIVERSITY,"Yale University"
PSL_UNIVERSITY,"Université Paris Sciences et Lettres"
UNIVERSITY_OF_TORONTO,"University of Toronto"
EPFL,"EPFL – École polytechnique fédérale de Lausanne"
UNIVERSITY_OF_EDINBURGH,"University of Edinburgh"
TUM,"Technical University of Munich"
MCGILL_UNIVERSITY,"McGill University"
ANU,"Australian National University"
SEOUL_NATIONAL_UNIVERSITY,"Seoul National University"
JOHNS_HOPKINS_UNIVERSITY,"Johns Hopkins University"
UNIVERSITY_OF_TOKYO,"The University of Tokyo"
COLUMBIA_UNIVERSITY,"Columbia University"
UNIVERSITY_OF_MANCHESTER,"University of Manchester"
CUHK,"Chinese University of Hong Kong"
MONASH_UNIVERSITY,"Monash University"
UBC,"University of British Columbia"
FUDAN_UNIVERSITY,"Fudan University"
KCL,"King's College London"
UNIVERSITY_OF_QUEENSLAND,"The University of Queensland"
UCLA,"University of California, Los Angeles"
NYU,"New York University"
UNIVERSITY_OF_MICHIGAN,"University of Michigan"
SJTU,"Shanghai Jiao Tong University"
INSTITUT_POLYTECHNIQUE_DE_PARIS,"Institut Polytechnique de Paris"
HKUST,"Hong Kong University of Science and Technology"
ZHEJIANG_UNIVERSITY,"Zhejiang University"
TU_DELFT,"Delft University of Technology"
KYOTO_UNIVERSITY,"Kyoto University"
NORTHWESTERN_UNIVERSITY,"Northwestern University"
LSE,"London School of Economics and Political Science"
KAIST,"KAIST - Korea Advanced Institute of Science & Technology"
UNIVERSITY_OF_BRISTOL,"University of Bristol"
UNIVERSITY_OF_AMSTERDAM,"University of Amsterdam"
YONSEI_UNIVERSITY,"Yonsei University"
HONG_KONG_POLYTECHNIC_UNIVERSITY,"Hong Kong Polytechnic University"
CARNEGIE_MELLON_UNIVERSITY,"Carnegie Mellon University"
LMU_MUNICH,"Ludwig-Maximilians-Universität München"
UNIVERSITY_OF_MALAYA,"University of Malaya"
DUKE_UNIVERSITY,"Duke University"
CITY_UNIVERSITY_OF_HONG_KONG,"City University of Hong Kong"
KU_LEUVEN,"KU Leuven"
SORBONNE_UNIVERSITY,"Sorbonne Université"
UNIVERSITY_OF_AUCKLAND,"University of Auckland"
UT_AUSTIN,"University of Texas at Austin"
KOREA_UNIVERSITY,"Korea University"
NATIONAL_TAIWAN_UNIVERSITY,"National Taiwan University"
UNIVERSITY_OF_WARWICK,"University of Warwick"
UIUC,"University of Illinois Urbana-Champaign"
